,State_Code,count
0,TN,446
1,TX,286
2,FL,162
3,CA,103
4,NJ,93
5,IL,76
6,MO,68
7,MA,58
8,OH,51
9,NC,49
10,PA,47
11,VA,44
12,ID,42
13,MN,41
14,NV,36
15,LA,35
16,IN,33
17,UT,33
18,NY,31
19,GA,29
20,CO,28
21,KS,28
22,MI,27
23,SC,23
24,KY,23
25,AL,22
26,ME,19
27,WI,15
28,AR,14
29,NM,12
30,MS,11
31,OK,11
32,AZ,10
33,NE,9
34,NH,8
35,MD,7
36,CT,6
37,WA,5
38,RI,5
39,MT,4
40,OR,4
41,WV,3
42,ND,2
43,HI,2
44,DC,2
45,none,2
46,IA,1
47,WY,1
48,SD,1
49,DE,1
50,VT,1
51,AK,1
